asset_tag,asset_name,serial_number,status_name,location_name
ADSFGHSJ,Friedge,374564377,SBSNMJSKMS,SGSHJSK
TYUH,YTSSHJSJS,1526872,YTYFGG,MIAMIIII
EFGHUFF,XEROX,GTHS56788,Daya,Noida Corporate Office
IIT2345,Tablet,23345,Ready to Deploy,Chennai Branch
IIM2345,Friedge,23345,Ready to Deploy,Gurgaon Business Hub
AST003,Laptop,HP789,Ready to Deploy,Pune Development Center
AST002,Macbook Device,MB456,Ready to Deploy,Gurgaon Business Hub
AST001,Dell Laptop,DL123,Ready to Deploy,Kolkata Regional Office
Ada12345,Laptop,98767,Deployed,Noida Corporate Office
NYT879890,Tablet,3887728,Ready to Deploy,Gurgaon Business Hub
BTY789,Tablet,2452717,Ready to Deploy,Jagdishpur
AD1234,Tablet1,1234987,Deployed,Delhi Headquarters
